,attack_results_SME_attack_type,attack_results_SME_maliciousness,attack_results_SME_attack_strength,attack_results_SME_potential_impact,attack_results_SME_cvss_base_score,attack_results_SMB_attack_type,attack_results_SMB_maliciousness,attack_results_SMB_attack_strength,attack_results_SMB_potential_impact,attack_results_SMB_cvss_base_score,total_workload,impact_availability,impact_confidentiality,impact_integrity
94,SQL Injection,0.81917064,1.228755959,Medium,7,SQL Injection,0.81917064,1.228755959,Medium,7,1.228755959,1.108755959,2.8,2.8
95,SQL Injection,0.243273936,0.364910904,Low,0,SQL Injection,0.243273936,0.364910904,Low,0,0.364910904,0.244910904,0,0
96,SQL Injection,0.69997961,1.049969414,High,9,SQL Injection,0.69997961,1.049969414,High,9,1.049969414,0.929969414,7.2,7.2
97,SQL Injection,0.852164109,1.278246164,High,9,SQL Injection,0.852164109,1.278246164,High,9,1.278246164,1.158246164,7.2,7.2
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,DDoS,0.727709625,1.091564437,High,7,DDoS,0.727709625,1.091564437,High,7,1.091564437,0.8,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,DDoS,0.829414747,1.24412212,Low,0,DDoS,0.829414747,1.24412212,Low,0,1.24412212,0.395297696,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,DDoS,0.295910481,0.443865721,High,7,DDoS,0.295910481,0.443865721,High,7,0.443865721,0.8,0,0
104,DDoS,2,3,High,7,DDoS,2,3,High,7,3,0.8,0,0
105,DDoS,0.62975965,0.944639475,High,7,DDoS,0.62975965,0.944639475,High,7,0.944639475,0.8,0,0
106,SQL Injection,0.200071346,0.300107019,Low,0,SQL Injection,0.200071346,0.300107019,Low,0,0.300107019,0,0,0
107,DDoS,1,1.5,Low,0,DDoS,1,1.5,Low,0,2.106228678,1.206228678,0,0
108,SQL Injection,0.93422309,1.401334635,High,9,SQL Injection,0.93422309,1.401334635,High,9,1.401334635,0.801334635,0,0
109,DDoS,0.131208323,0.196812485,Medium,0,DDoS,0.131208323,0.196812485,Medium,0,0.196812485,0,0,0
110,DDoS,0.006996088,0.010494132,High,7,DDoS,0.006996088,0.010494132,High,7,0.010494132,0.8,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,DDoS,0.298665955,0.447998933,Low,0,DDoS,0.298665955,0.447998933,Low,0,0.447998933,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,SQL Injection,0.874543571,1.311815356,Medium,7,SQL Injection,0.874543571,1.311815356,Medium,7,1.311815356,0.711815356,0,0
117,SQL Injection,0.660620586,0.990930879,Medium,7,SQL Injection,0.660620586,0.990930879,Medium,7,0.990930879,0.390930879,0,0
118,DDoS,1.6,2.4,Medium,0,DDoS,1.6,2.4,Medium,0,2.4,1.32,0,0
119,SQL Injection,0.140540523,0.210810785,Medium,7,SQL Injection,0.140540523,0.210810785,Medium,7,0.210810785,0,0,0
120,SQL Injection,0.859065644,1.288598467,Medium,7,SQL Injection,0.859065644,1.288598467,Medium,7,3.388598467,2.368598467,0,0
121,DDoS,1.4,2.1,Low,0,DDoS,1.4,2.1,Low,0,2.1,1.08,0,0
122,SQL Injection,0.899613842,1.349420762,Medium,7,SQL Injection,0.899613842,1.349420762,Medium,7,1.349420762,0.749420762,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,SQL Injection,0.193393572,0.290090359,Low,0,SQL Injection,0.193393572,0.290090359,Low,0,3.922203098,3.19578055,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,SQL Injection,1,1.5,Low,0,SQL Injection,1,1.5,Low,0,4.052274259,0.8,0,0
127,SQL Injection,0.641941655,0.962912482,Low,0,SQL Injection,0.641941655,0.962912482,Low,0,2.06367463,0.8,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,SQL Injection,0.392407673,0.58861151,Medium,7,SQL Injection,0.392407673,0.58861151,Medium,7,0.58861151,0,0,0
130,SQL Injection,0.107665591,0.161498386,Medium,7,SQL Injection,0.107665591,0.161498386,Medium,7,0.161498386,0,0,0
131,DDoS,0.036178096,0.054267144,High,7,DDoS,0.036178096,0.054267144,High,7,0.054267144,0.8,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,DDoS,0.337112161,0.505668241,Low,0,DDoS,0.337112161,0.505668241,Low,0,3.340049105,2.072039284,0,0
134,SQL Injection,0.495851822,0.743777733,Medium,7,SQL Injection,0.495851822,0.743777733,Medium,7,0.743777733,0.143777733,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,SQL Injection,0.573680849,0.860521273,High,9,SQL Injection,0.573680849,0.860521273,High,9,0.860521273,0.260521273,0,0
137,SQL Injection,0.586441425,0.879662138,Low,0,SQL Injection,0.586441425,0.879662138,Low,0,0.879662138,0.279662138,0,0
138,DDoS,1,1.5,Low,0,DDoS,1,1.5,Low,0,3.9,3,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,DDoS,0.969301362,1.453952043,Medium,0,DDoS,0.969301362,1.453952043,Medium,0,1.453952043,0.563161634,0,0
141,DDoS,0.211914056,0.317871084,High,7,DDoS,0.211914056,0.317871084,High,7,1.287086013,0.606157014,0,0
142,DDoS,0.150583641,0.225875461,High,7,DDoS,0.150583641,0.225875461,High,7,3.225875461,0.8,0,0
